author,Contributing State,title,Publication Info, genre,Link to text
Marion Vaughn ,Alabama,Mothers in Council,"New York: Harper & Brothers, 1884.","Textbook, Advice Literature",https://books.google.com/books?id=4fkaAAAAYAAJ&
Mary W. Loughborough,Arkansas,My Cave Life in Vicksburg.:[sic] With Letters of Trial and Travel by a Lady,"New York: D. Appleton & Co., 1864.",Memoir,https://hdl.handle.net/2027/uc2.ark:/13960/t3vt1gx5b
Mary H. Field,California,An Arboreal Song of the Alameda (The Beautiful Way),"San Francisco: The Society, 1878.","Poetry, History",https://hdl.handle.net/2027/loc.ark:/13960/t5p84vf0t
"Mary O. Stanton, M.O. Stanton",California,Chart for the Delineations of Mental and Physiological Characteristics,"Philadelphia: F.A. Davis, 1890.",Textbook ,
Mrs. N. Furlong,California,"Cozenza: A Tale of Italy, and Other Poems","San Francisco: B.F. Sterrett, 1880.",Poetry,https://books.google.com/books?id=SwkPAAAAIAAJ& 
Mary W. Glascock,California,Dare,"San Francisco: The California Pubishing Company, 1882.",Novel,https://hdl.handle.net/2027/nyp.33433082303953
"Alice Kingsbury, Mrs. Col. F. M. Cooley",California,Ho! For Elf-land!,"San Francisco: A.L. Bancroft, 1877.",Stories,https://hdl.handle.net/2027/uc2.ark:/13960/t2k64c47x
"Mary O. Stanton, M.O. Stanton",California,"A System of Practical and Scientific Physiognomy; or, How to Read Faces","
Philadelphia: F.A. Davis, 1890.",Textbook,https://archive.org/details/systemofpractica01staniala
M. B. M. Toland,California,Iris: The Romance of an Opal Ring,"Philadelphia: J.B. Lippincott & Co., 1879.",Poetry,https://hdl.handle.net/2027/uc2.ark:/13960/t6154fq8n
M. B. M. Toland,California,Onti Ora: A Metrical Romance,"Philadelphia: J.B. Lippincott & Co., 1881.",Poetry,https://hdl.handle.net/2027/hvd.hnnuyi
"Mrs. A. L. Townsend, Philip Shirley ",California,On the Verge: A Romance of the Centennial,"San Francisco: A.L. Bancroft, 1879.",Novel,https://hdl.handle.net/2027/umn.31951002381337o
"Mary O. Stanton, M.O. Stanton",California,Physiognomy: A Practical and Scientific Treatise,"San Francisco: Printed for the Author, 1881.",Textbook,https://hdl.handle.net/2027/loc.ark:/13960/t46q34s22
Ina D. Coolbrith,California,"A Perfect Day, and Other Poems","San Francisco: John H. Carmany & Co, 1881",Poetry,https://hdl.handle.net/2027/uc2.ark:/13960/fk6nz81234
"Mrs. J. W. Stow, Marietta Lois Beers Stow",California,Probate Confiscation: Unjust Laws which Govern Women,"Boston: Bacon and Company, 1876.","Memoir, Textbook",https://hdl.handle.net/2027/hvd.hn1fsi
